MARCA;TIPO CAMBIO;COR;KM RODADOS;ANO FABRICACAO;PRECO
VOLKSWAGEN;MANUAL;BRANCO;159612;2013;6300
VOLKSWAGEN;MANUAL;VERDE;120000;2013;6200
VOLKSWAGEN;MANUAL;PRATA;150000;2013;7900
VOLKSWAGEN;MANUAL;AZUL;60000;2013;20000
VOLKSWAGEN;MANUAL;VERDE;70000;2013;14500
VOLKSWAGEN;MANUAL;PRATA;8499;2013;9300
VOLKSWAGEN;MANUAL;BRANCO;27000;2013;18000
VOLKSWAGEN;MANUAL;PRATA;100000;2013;8000
VOLKSWAGEN;MANUAL;AZUL;90000;2013;11500
VOLKSWAGEN;MANUAL;PRATA;12000;2013;12900
VOLKSWAGEN;MANUAL;BEGE;55000;2013;8000
VOLKSWAGEN;MANUAL;VERMELHO;76200;2013;18800
VOLKSWAGEN;MANUAL;AZUL;133000;2013;8800
VOLKSWAGEN;MANUAL;VERDE;136600;2013;11500
VOLKSWAGEN;MANUAL;BRANCO;89000;2013;25000
CHEVROLET;MANUAL;AZUL;114000;2013;31000
CHEVROLET;AUTOMATICO;AZUL;101000;2013;49950
CHEVROLET;AUTOMATICO;AZUL;160000;2013;40900
FIAT;AUTOMATICO;AZUL;150000;2013;6200
FIAT;MANUAL;AZUL;130000;2013;6800
FIAT;MANUAL;VERMELHO;120000;2013;7000
FIAT;MANUAL;PRATA;89000;2013;13000
FIAT;MANUAL;CINZA;111111;2013;5999
FIAT;MANUAL;VERDE;173000;2013;6300
FIAT;MANUAL;PRETO;127500;2013;9500
HONDA;MANUAL;CINZA;173000;2013;11000
HONDA;MANUAL;BRANCO;190000;2013;30000
VOLKSWAGEN;AUTOMATICO;AZUL;100;2013;7500
VOLKSWAGEN;MANUAL;AZUL;1111;2013;9000
VOLKSWAGEN;MANUAL;BEGE;120000;2013;8500
VOLKSWAGEN;MANUAL;VERMELHO;171000;2013;8900
FIAT;MANUAL;CINZA;114667;2013;8500
FIAT;MANUAL;VERMELHO;85000;2013;7500
FIAT;MANUAL;AZUL;127000;2013;11900
FIAT;MANUAL;AZUL;99700;2013;11900
HONDA;MANUAL;BRANCO;120000;2013;12000
HONDA;AUTOMATICO;AZUL;130000;2013;12000
HONDA;AUTOMATICO;CINZA;145000;2013;14000
HONDA;AUTOMATICO;AZUL;150000;2013;7900
HONDA;AUTOMATICO;BRANCO;99200;2013;16000
HONDA;AUTOMATICO;VERMELHO;130000;2013;17900
HONDA;AUTOMATICO;VERDE;99000;2013;14890
HONDA;AUTOMATICO;PRETO;100000;2013;17900
HONDA;AUTOMATICO;PRETO;106000;2013;17200
HONDA;AUTOMATICO;PRETO;89000;2013;13500
HONDA;MANUAL;PRATA;62000;2013;42000
HONDA;MANUAL;PRETO;51000;2013;45000
VOLKSWAGEN;MANUAL;PRATA;87400;2013;6500
VOLKSWAGEN;MANUAL;VERMELHO;198000;2013;9300
VOLKSWAGEN;MANUAL;BEGE;855292;2013;9300
VOLKSWAGEN;MANUAL;VERMELHO;90000;2013;8900
VOLKSWAGEN;MANUAL;AZUL;106025;2013;9800
VOLKSWAGEN;MANUAL;VERDE;31296;2013;9500
VOLKSWAGEN;MANUAL;BRANCO;215343;2013;8990
VOLKSWAGEN;MANUAL;BRANCO;128000;2013;8500
VOLKSWAGEN;MANUAL;AZUL;103000;2013;9500
VOLKSWAGEN;MANUAL;PRATA;120000;2013;9500
VOLKSWAGEN;MANUAL;BRANCO;138000;2012;8500
VOLKSWAGEN;MANUAL;VERMELHO;100;2013;9500
VOLKSWAGEN;MANUAL;AZUL;160000;2013;9300
VOLKSWAGEN;MANUAL;AZUL;63000;2013;40000
VOLKSWAGEN;MANUAL;ROXO;95000;2013;25000
TOYOTA;MANUAL;VINHO;47000;2013;26500
TOYOTA;MANUAL;VERDE;280000;2013;35000
TOYOTA;MANUAL;CINZA;314300;2013;30000
CHEVROLET;MANUAL;AZUL;80000;2011;34900
CHEVROLET;AUTOMATICO;AZUL;95476;2013;42000
CHEVROLET;AUTOMATICO;BRANCO;95000;2013;80000
FIAT;AUTOMATICO;PRETO;117000;2013;7900
FIAT;MANUAL;PRETO;147000;2012;7800
FIAT;MANUAL;VINHO;288000;2012;7500
FIAT;MANUAL;VINHO;9000;2013;6890
FIAT;MANUAL;AZUL;150;2012;7600
VOLKSWAGEN;MANUAL;PRETO;28000;2012;12000
VOLKSWAGEN;MANUAL;VERMELHO;122560;2012;7490
VOLKSWAGEN;MANUAL;BRANCO;140000;2013;7800
VOLKSWAGEN;MANUAL;VERMELHO;88888;2012;8900
VOLKSWAGEN;MANUAL;BRANCO;120000;2013;7990
VOLKSWAGEN;MANUAL;BRANCO;100;2013;8000
VOLKSWAGEN;MANUAL;VERMELHO;9000;2012;25000
VOLKSWAGEN;MANUAL;AZUL;112333;2012;8800
VOLKSWAGEN;MANUAL;BRANCO;115000;2012;13350
VOLKSWAGEN;MANUAL;BRANCO;144072;2012;11999
VOLKSWAGEN;MANUAL;AZUL;170000;2012;9500
FIAT;MANUAL;AZUL;130000;2011;7890
FIAT;MANUAL;VERMELHO;157699;2013;7800
FIAT;MANUAL;VERDE;175836;2013;5990
FIAT;MANUAL;VERMELHO;100;2012;9000
FIAT;MANUAL;VERMELHO;159381;2011;7200
FIAT;MANUAL;BRANCO;180000;2012;7700
FIAT;MANUAL;VERMELHO;164043;2013;6500
FIAT;MANUAL;PRETO;113000;2012;21900
HONDA;MANUAL;PRATA;112369;2011;14000
VOLKSWAGEN;AUTOMATICO;MARROM;41000;2012;13000
VOLKSWAGEN;MANUAL;BRANCO;59000;2012;8990
VOLKSWAGEN;MANUAL;VERMELHO;120000;2012;7900
VOLKSWAGEN;MANUAL;PRETO;10000;2011;9800
VOLKSWAGEN;MANUAL;VINHO;78000;2012;7500
VOLKSWAGEN;MANUAL;BRANCO;150000;2012;8999
VOLKSWAGEN;MANUAL;BRANCO;82000;2012;10000
VOLKSWAGEN;MANUAL;BRANCO;99000;2012;9900
VOLKSWAGEN;MANUAL;BRANCO;141489;2012;9190
VOLKSWAGEN;MANUAL;BEGE;103000;2012;12900
VOLKSWAGEN;MANUAL;VERDE;150000;2012;8390
VOLKSWAGEN;MANUAL;VINHO;187852;2013;8900
VOLKSWAGEN;MANUAL;PRATA;143000;2012;10300
VOLKSWAGEN;MANUAL;VERMELHO;136000;2012;11500
VOLKSWAGEN;MANUAL;PRETO;140;2013;15000
VOLKSWAGEN;MANUAL;VERDE;91000;2012;11000
VOLKSWAGEN;MANUAL;PRETO;140000;2012;11700
VOLKSWAGEN;MANUAL;VERMELHO;90000;2012;26900
FIAT;MANUAL;AZUL;134000;2012;7500
FIAT;MANUAL;VINHO;170000;2012;7500
FIAT;MANUAL;VERMELHO;88000;2012;5999
FIAT;MANUAL;AZUL;136600;2012;7190
FIAT;MANUAL;AZUL;145000;2012;7000
FIAT;MANUAL;VERMELHO;164000;2012;8000
FIAT;MANUAL;PRATA;245000;2011;7397
FIAT;MANUAL;PRETO;148;2012;8500
FIAT;MANUAL;AZUL;31000;2012;7490
FIAT;MANUAL;BRANCO;164000;2012;7950
FIAT;MANUAL;PRATA;188000;2011;8100
FIAT;MANUAL;PRETO;175000;2012;14000
HONDA;MANUAL;PRATA;150000;2012;30000
VOLKSWAGEN;MANUAL;BRANCO;37584;2011;11900
VOLKSWAGEN;MANUAL;BRANCO;144000;2012;8400
VOLKSWAGEN;MANUAL;VERDE;90000;2012;7999
VOLKSWAGEN;MANUAL;VERMELHO;120000;2012;9800
VOLKSWAGEN;MANUAL;VINHO;119000;2012;11290
VOLKSWAGEN;MANUAL;PRETO;150000;2011;18000
VOLKSWAGEN;MANUAL;AZUL;154000;2012;10000
VOLKSWAGEN;MANUAL;VINHO;101000;2012;12000
VOLKSWAGEN;MANUAL;VERMELHO;238900;2012;8900
FIAT;MANUAL;AZUL;120;2012;6500
FIAT;MANUAL;BRANCO;99200;2012;8500
FIAT;MANUAL;AZUL;115000;2011;7900
FIAT;MANUAL;PRATA;100;2012;7500
FIAT;MANUAL;VINHO;146500;2012;7600
HONDA;MANUAL;VERMELHO;162000;2012;33800
HONDA;MANUAL;VERMELHO;182350;2012;26000
HONDA;MANUAL;VERDE;231000;2012;26000
VOLKSWAGEN;MANUAL;VERDE;103000;2012;8500
VOLKSWAGEN;MANUAL;PRETO;130000;2012;7000
VOLKSWAGEN;MANUAL;PRETO;350;2011;8500
VOLKSWAGEN;MANUAL;AZUL;65000;2011;8000
VOLKSWAGEN;MANUAL;VERMELHO;71000;2012;9900
VOLKSWAGEN;MANUAL;VERMELHO;78000;2011;8900
VOLKSWAGEN;MANUAL;AZUL;92117;2012;8900
VOLKSWAGEN;MANUAL;VERDE;115000;2013;7900
VOLKSWAGEN;MANUAL;CINZA;135000;2011;12000
VOLKSWAGEN;MANUAL;BRANCO;127000;2012;8900
VOLKSWAGEN;MANUAL;PRATA;95000;2012;9900
VOLKSWAGEN;MANUAL;VERMELHO;120000;2013;8990
VOLKSWAGEN;MANUAL;VINHO;120000;2012;9500
VOLKSWAGEN;MANUAL;AZUL;126100;2012;8000
VOLKSWAGEN;MANUAL;BRANCO;130000;2012;10500
VOLKSWAGEN;MANUAL;BRANCO;190500;2012;75
VOLKSWAGEN;MANUAL;BRANCO;91000;2011;10000
VOLKSWAGEN;MANUAL;VINHO;200000;2012;10800
VOLKSWAGEN;MANUAL;VINHO;105000;2011;13900
VOLKSWAGEN;MANUAL;VERMELHO;100;2012;7900
VOLKSWAGEN;MANUAL;VERMELHO;90000;2012;7800
VOLKSWAGEN;MANUAL;VINHO;101500;2012;10000
VOLKSWAGEN;MANUAL;VINHO;137000;2013;10200
VOLKSWAGEN;MANUAL;PRETO;120000;2011;7900
VOLKSWAGEN;MANUAL;PRATA;120000;2012;10000
VOLKSWAGEN;MANUAL;VERDE;138459;2012;9900
VOLKSWAGEN;MANUAL;VERMELHO;257000;2012;8300
VOLKSWAGEN;MANUAL;PRETO;188807;2011;16990
VOLKSWAGEN;MANUAL;BRANCO;126000;2012;23000
VOLKSWAGEN;MANUAL;VERMELHO;54030;2012;25000
TOYOTA;MANUAL;AZUL;280;2011;34900
TOYOTA;MANUAL;VERDE;210000;2011;45800
TOYOTA;MANUAL;VINHO;203000;2012;27900
TOYOTA;MANUAL;VERDE;230000;2012;31500
CHEVROLET;MANUAL;CINZA;41548;2012;27900
CHEVROLET;MANUAL;PRATA;305000;2012;31000
CHEVROLET;MANUAL;PRATA;130000;2012;36999
CHEVROLET;MANUAL;BRANCO;200000;2011;36000
FIAT;MANUAL;BRANCO;120000;2012;7990
FIAT;MANUAL;PRATA;105000;2011;8500
HONDA;MANUAL;PRETO;90345;2012;11300
HONDA;AUTOMATICO;PRETO;77000;2012;38999
HONDA;MANUAL;VERDE;81550;2012;44900
HONDA;MANUAL;PRETO;142000;2012;27500
VOLKSWAGEN;MANUAL;BRANCO;100;2011;9000
VOLKSWAGEN;MANUAL;VERDE;1000;2011;8100
VOLKSWAGEN;MANUAL;VERMELHO;84000;2012;8500
VOLKSWAGEN;MANUAL;VERMELHO;87620;2011;11900
VOLKSWAGEN;MANUAL;VINHO;153000;2012;7200
VOLKSWAGEN;MANUAL;VERMELHO;16000;2012;9500
VOLKSWAGEN;MANUAL;VINHO;110000;2012;8000
VOLKSWAGEN;MANUAL;VERMELHO;69300;2012;12500
VOLKSWAGEN;MANUAL;VERMELHO;100;2012;10500
VOLKSWAGEN;MANUAL;PRATA;234000;2012;10000
VOLKSWAGEN;MANUAL;PRETO;77412;2011;14000
VOLKSWAGEN;MANUAL;VERMELHO;99999;2012;17500
VOLKSWAGEN;MANUAL;PRATA;154000;2011;11900
VOLKSWAGEN;MANUAL;VERDE;131000;2011;30000
TOYOTA;MANUAL;VINHO;181000;2012;41500
TOYOTA;MANUAL;BRANCO;250000;2012;32000
FIAT;MANUAL;CINZA;264000;2012;8500
HONDA;MANUAL;PRATA;85437;2012;21000
HONDA;AUTOMATICO;PRETO;113000;2012;15900
HONDA;AUTOMATICO;VERDE;140000;2012;14290
HONDA;AUTOMATICO;VERDE;152000;2012;13499
HONDA;AUTOMATICO;VERDE;94000;2012;16800
HONDA;MANUAL;VERMELHO;100000;2012;11900
HONDA;MANUAL;PRATA;125000;2012;13500
HONDA;MANUAL;PRETO;176000;2011;11900
HONDA;MANUAL;VERDE;100;2011;14900
HONDA;AUTOMATICO;PRATA;112000;2012;14500
HONDA;AUTOMATICO;PRATA;141000;2012;10500
HONDA;AUTOMATICO;PRATA;147000;2011;13990
HONDA;AUTOMATICO;PRATA;154000;2012;12500
HONDA;AUTOMATICO;VERDE;156000;2012;12800
HONDA;AUTOMATICO;VERDE;180000;2012;13000
HONDA;AUTOMATICO;VERDE;183000;2012;12500
HONDA;AUTOMATICO;VERDE;100;2012;12900
HONDA;MANUAL;VERDE;100000;2012;11500
HONDA;MANUAL;PRETO;129000;2012;15300
HONDA;MANUAL;VERMELHO;136000;2012;12290
HONDA;MANUAL;PRETO;123000;2011;14999
VOLKSWAGEN;AUTOMATICO;VERMELHO;75000;2012;9500
VOLKSWAGEN;MANUAL;PRATA;79000;2012;7900
VOLKSWAGEN;MANUAL;CINZA;157000;2012;8499
VOLKSWAGEN;MANUAL;BRANCO;139000;2012;7500
VOLKSWAGEN;MANUAL;AZUL;86000;2011;7999
VOLKSWAGEN;MANUAL;PRETO;120000;2011;8900
VOLKSWAGEN;MANUAL;CINZA;138000;2012;8700
VOLKSWAGEN;MANUAL;VERMELHO;200000;2012;8900
VOLKSWAGEN;MANUAL;AZUL;86000;2013;7999
VOLKSWAGEN;MANUAL;VERDE;150000;2012;8000
VOLKSWAGEN;MANUAL;CINZA;111111;2014;13500
VOLKSWAGEN;MANUAL;VERDE;130000;2012;7999
VOLKSWAGEN;MANUAL;PRETO;2000;2010;27990
VOLKSWAGEN;MANUAL;BRANCO;94000;2013;11990
VOLKSWAGEN;MANUAL;VERMELHO;450000;2010;10000
VOLKSWAGEN;MANUAL;CINZA;107353;2010;13000
VOLKSWAGEN;MANUAL;VERMELHO;15000;2010;18500
VOLKSWAGEN;MANUAL;VERDE;78000;2011;12700
VOLKSWAGEN;MANUAL;VERMELHO;120000;2011;10900
VOLKSWAGEN;MANUAL;VERMELHO;115000;2011;12000
VOLKSWAGEN;MANUAL;BRANCO;144000;2012;27500
TOYOTA;MANUAL;VERMELHO;251500;2011;34000
TOYOTA;MANUAL;BRANCO;290000;2011;26500
TOYOTA;MANUAL;BRANCO;390000;2010;19500
TOYOTA;MANUAL;CINZA;256000;2011;30000
TOYOTA;MANUAL;BRANCO;143000;2012;30900
CHEVROLET;MANUAL;CINZA;132000;2010;16900
CHEVROLET;MANUAL;PRETO;220000;2011;22000
CHEVROLET;MANUAL;BRANCO;55700;2010;33900
CHEVROLET;MANUAL;VERDE;115000;2010;25500
CHEVROLET;MANUAL;BRANCO;79000;2011;59900
CHEVROLET;MANUAL;BRANCO;166000;2010;42000
CHEVROLET;MANUAL;BRANCO;180000;2011;30900
CHEVROLET;MANUAL;PRETO;249000;2010;45000
CHEVROLET;MANUAL;VERMELHO;22000;2010;75000
FIAT;MANUAL;VERMELHO;125000;2011;7890
FIAT;MANUAL;VINHO;100000;2011;9200
FIAT;MANUAL;VERMELHO;168000;2011;8900
HONDA;MANUAL;AZUL;122000;2010;13899
VOLKSWAGEN;AUTOMATICO;PRETO;113023;2010;9000
VOLKSWAGEN;MANUAL;AZUL;118000;2010;9900
VOLKSWAGEN;MANUAL;AZUL;130000;2010;8900
VOLKSWAGEN;MANUAL;PRATA;214580;2012;10900
VOLKSWAGEN;MANUAL;VERMELHO;128000;2011;10000
VOLKSWAGEN;MANUAL;VERDE;148000;2011;10500
VOLKSWAGEN;MANUAL;BRANCO;115000;2010;9500
VOLKSWAGEN;MANUAL;BRANCO;999999;2011;10500
VOLKSWAGEN;MANUAL;BRANCO;100;2011;9500
VOLKSWAGEN;MANUAL;BRANCO;108000;2011;10990
VOLKSWAGEN;MANUAL;BRANCO;86020;2010;10990
VOLKSWAGEN;MANUAL;CINZA;90000;2010;9990
VOLKSWAGEN;MANUAL;BRANCO;98449;2010;9900
VOLKSWAGEN;MANUAL;VERDE;85000;2010;11999
VOLKSWAGEN;MANUAL;AZUL;112000;2010;8890
VOLKSWAGEN;MANUAL;PRETO;90000;2010;17900
VOLKSWAGEN;MANUAL;BRANCO;100000;2011;16000
TOYOTA;MANUAL;PRATA;266000;2010;30000
TOYOTA;MANUAL;VERDE;301000;2010;27000
TOYOTA;MANUAL;BRANCO;195685;2011;33000
TOYOTA;MANUAL;PRATA;297000;2010;38000
CHEVROLET;MANUAL;PRATA;160000;2010;40000
CHEVROLET;MANUAL;VERMELHO;200000;2010;31000
CHEVROLET;MANUAL;PRATA;150000;2010;35900
CHEVROLET;MANUAL;PRETO;125391;2011;47000
FIAT;MANUAL;AZUL;135000;2010;12500
FIAT;MANUAL;AZUL;120000;2011;7990
HONDA;MANUAL;AZUL;140000;2010;13900
HONDA;AUTOMATICO;PRATA;112000;2010;12990
HONDA;MANUAL;PRETO;115000;2010;16500
HONDA;MANUAL;PRATA;215000;2010;14000
HONDA;MANUAL;AZUL;129500;2010;14500
HONDA;AUTOMATICO;VERDE;150000;2010;12400
HONDA;AUTOMATICO;PRETO;150000;2010;17100
HONDA;AUTOMATICO;PRETO;111;2010;12950
HONDA;MANUAL;AZUL;70000;2010;18000
HONDA;MANUAL;AZUL;83900;2010;14200
HONDA;MANUAL;PRATA;90000;2010;14999
HONDA;MANUAL;BRANCO;117777;2010;15800
HONDA;MANUAL;PRATA;120400;2010;13500
HONDA;MANUAL;PRATA;129629;2010;14900
HONDA;MANUAL;VERDE;130000;2010;14900
HONDA;MANUAL;BRANCO;169929;2010;12900
HONDA;MANUAL;AZUL;178000;2010;12800
HONDA;MANUAL;PRETO;97500;2010;16000
HONDA;AUTOMATICO;VERDE;223506;2010;15490
VOLKSWAGEN;MANUAL;CINZA;100;2010;10000
VOLKSWAGEN;MANUAL;PRATA;97542;2010;9300
VOLKSWAGEN;MANUAL;BRANCO;100000;2010;9500
VOLKSWAGEN;MANUAL;CINZA;79000;2011;12900
VOLKSWAGEN;MANUAL;VERDE;115000;2010;9200
VOLKSWAGEN;MANUAL;BRANCO;145000;2010;8200
VOLKSWAGEN;MANUAL;VERMELHO;215777;2010;10000
VOLKSWAGEN;MANUAL;VERDE;155000;2010;10900
VOLKSWAGEN;MANUAL;BRANCO;98000;2010;9890
VOLKSWAGEN;MANUAL;VERMELHO;130000;2013;9900
VOLKSWAGEN;MANUAL;BRANCO;237568;2013;8499
VOLKSWAGEN;MANUAL;BRANCO;100;2014;9800
VOLKSWAGEN;MANUAL;VERDE;49000;2013;8990
VOLKSWAGEN;MANUAL;BRANCO;111000;2013;7900
VOLKSWAGEN;MANUAL;AZUL;110000;2013;9500
VOLKSWAGEN;MANUAL;AZUL;110000;2013;9500
VOLKSWAGEN;MANUAL;AZUL;118300;2013;9500
VOLKSWAGEN;MANUAL;CINZA;100;2013;10900
VOLKSWAGEN;MANUAL;PRETO;180000;2013;10000
VOLKSWAGEN;MANUAL;VERMELHO;157000;2013;14000
TOYOTA;MANUAL;VERDE;87000;2012;38000
TOYOTA;MANUAL;VERDE;130000;2012;35000
TOYOTA;MANUAL;VERDE;253500;2012;29000
CHEVROLET;MANUAL;BRANCO;156000;2012;35000
FIAT;MANUAL;VERDE;120000;2012;7800
FIAT;MANUAL;CINZA;130000;2012;8500
FIAT;MANUAL;CINZA;132000;2012;7800
FIAT;MANUAL;AZUL;134125;2013;9900
FIAT;MANUAL;VERDE;86621;2011;9900
FIAT;MANUAL;PRATA;167826;2012;9000
HONDA;MANUAL;PRATA;107123;2012;14900
HONDA;AUTOMATICO;CINZA;132000;2011;14900
HONDA;AUTOMATICO;AZUL;170000;2011;12900
HONDA;AUTOMATICO;PRETO;170000;2010;18900
HONDA;AUTOMATICO;PRETO;51000;2010;14500
HONDA;MANUAL;CINZA;77000;2011;17999
HONDA;MANUAL;CINZA;111320;2011;12900
VOLKSWAGEN;MANUAL;PRATA;105000;2012;7400
VOLKSWAGEN;MANUAL;PRATA;70000;2011;13000
VOLKSWAGEN;MANUAL;BRANCO;88000;2012;10900
VOLKSWAGEN;MANUAL;PRETO;1111111;2011;11000
VOLKSWAGEN;MANUAL;VINHO;63072;2011;11000
VOLKSWAGEN;MANUAL;CINZA;82500;2011;11990
VOLKSWAGEN;MANUAL;VINHO;91165;2011;12000
VOLKSWAGEN;MANUAL;PRATA;95000;2012;15900
VOLKSWAGEN;MANUAL;VINHO;100000;2011;10900
VOLKSWAGEN;MANUAL;VERDE;115000;2010;11000
VOLKSWAGEN;MANUAL;VERDE;133000;2012;10500
VOLKSWAGEN;MANUAL;VINHO;160000;2011;10500
VOLKSWAGEN;MANUAL;CINZA;276103;2011;13000
VOLKSWAGEN;MANUAL;BRANCO;98000;2013;14900
VOLKSWAGEN;MANUAL;AZUL;110000;2010;9000
